fips,total_8_hour_outages,n_years_available,avg_customers_out,avg_customer_time_std,tot_po_yr
20091,3,2,999873,3,48
20093,4,3,546,0,20
20103,2,2,55714,2,44
20109,0,3,9663,6,42
20111,3,1,129952,7,49
20115,2,2,11846,2,47
20117,0,2,9412,2,20
20121,2,2,108414,6,61
20127,0,2,330,0,0
20139,6,1,60811,7,51
20143,0,2,162,0,3
20145,1,3,8891,3,29
20155,1,1,49650,1,42
20161,4,2,40986,1,52
20169,0,2,25598,1,40
20171,0,3,81,0,2
20173,4,2,385710,1,56
20177,2,2,165276,2,40
20179,0,3,989,1,0
20193,1,3,7086,2,45
20197,0,1,900,0,1
20199,0,3,229,0,7
20203,0,3,76,0,6
20207,1,1,1128,1,70
21001,0,1,709,0,1
21003,2,3,51385,5,75
21005,4,3,49281,4,67
21007,2,3,33257,8,61
21011,3,3,34540,6,100
21013,5,3,72922,5,118
21015,3,3,160216,3,65
21017,2,3,28673,3,65
21021,1,3,36921,2,44
21023,1,3,30876,7,90
21029,3,3,130198,3,99
21031,1,3,16097,2,59
21035,2,3,58966,3,57
21039,3,1,21428,8,45
21043,6,3,66114,5,140
21045,1,3,19479,2,63
21049,2,3,37530,2,53
21051,5,3,59787,6,180
21053,2,3,25747,5,72
21061,2,2,51790,8,98
21067,3,3,795857,5,64
21069,3,3,45293,6,125
21071,11,3,211804,11,185
21079,1,3,31976,4,49
21081,1,3,46521,4,65
21083,2,3,70279,4,55
21089,7,3,91364,5,126
21093,0,1,38361,1,35
21095,5,3,68018,5,116
21097,2,3,25876,3,79
21099,2,2,36595,4,87
21101,2,1,77416,3,39
21103,3,3,25853,3,79
21105,1,3,13292,6,58
21109,3,3,39560,6,128
21111,5,3,1753162,4,79
21115,5,1,100702,9,171
21121,3,3,91929,6,81
21123,2,2,30852,4,34
21125,2,3,84541,3,80
21127,12,3,104601,14,196
21135,3,3,93177,14,130
21137,1,3,47105,4,81
21139,2,3,40674,8,72
21143,0,1,10092,2,44
21151,1,3,93375,2,48
21155,1,3,38250,4,63
21157,1,3,55797,3,56
21159,9,3,91915,17,138
21161,1,3,35281,4,81
21147,3,3,63473,8,104
21149,1,3,16292,3,57
21167,1,3,34135,3,53
21171,0,3,17989,3,43
21173,2,3,57455,4,59
21177,2,3,30534,2,59
21179,3,3,74879,3,115
21185,10,3,207745,7,93
21187,2,3,21110,4,92
21189,5,3,15706,7,105
21191,2,3,33821,5,81
21197,3,1,17273,3,86
21199,2,2,119551,4,128
21201,0,3,334,0,3
21203,3,3,59864,7,157
21207,1,3,31183,3,81
21209,2,3,67211,2,62
21211,3,3,43110,2,62
21215,2,3,38772,4,69
21217,0,3,6646,1,14
21219,2,2,72308,12,96
21221,2,3,83081,11,125
21223,2,3,17340,4,63
21225,2,3,27055,4,67
21229,2,3,25042,4,63
21231,3,3,65876,6,108
21233,1,3,16692,3,53
21235,3,3,109159,7,79
21237,1,1,9731,2,70
21239,4,3,289479,21,73
22001,6,3,879180,28,114
22003,23,3,677653,62,233
22005,7,3,341607,6,127
22007,3,3,163281,14,69
22009,12,3,419617,20,178
22011,25,3,1733867,92,262
22013,18,2,289674,37,175
22019,17,3,10045051,93,176
22021,8,3,186145,36,125
22023,10,3,86706,22,104
22027,12,2,274603,35,158
22029,11,3,97156,10,145
22031,18,3,412449,28,187
22033,9,3,1993885,9,152
22035,11,3,68851,26,100
22037,8,3,196008,21,196
22039,9,3,362130,22,159
22041,2,3,57479,6,71
22043,14,3,609708,65,226
22045,5,3,954700,26,125
22047,5,3,115070,8,114
22049,14,2,648936,81,134
22051,14,3,6156641,26,122
22053,16,3,736959,46,131
22055,2,3,1096683,8,56
22057,9,3,690553,14,125
22059,7,3,202592,30,78
22061,12,2,643160,26,119
22063,6,3,398666,6,165
22065,4,3,41334,8,102
22067,7,3,267549,20,97
22071,7,3,3865255,18,156
22073,12,2,3622590,45,106
22075,7,3,435729,36,109
22079,14,3,2667869,39,170
22081,0,3,5987,1,6
22083,7,3,101904,10,104
22085,21,3,751776,59,256
22087,7,3,581241,28,89
22089,6,3,431072,16,125
22091,6,3,106206,20,210
22093,2,3,77980,7,72
22095,5,3,176898,8,107
22097,6,3,899274,21,145
22099,6,3,440145,16,133
22101,5,3,329050,12,95
22103,5,3,1403570,11,129
22105,17,2,1146076,17,202
22107,12,3,116782,48,104
22111,22,2,849700,75,248
22113,5,2,1049426,35,90
22115,17,3,1091296,46,175
22117,3,3,161609,7,101
22119,16,2,375362,17,144
22121,4,3,106090,8,84
22125,7,3,150455,27,200
22127,10,3,316304,43,141
23003,4,3,265379,6,110
23007,3,3,12617,1,22
23009,6,3,593703,17,135
23015,1,3,11492,1,4
23019,6,3,1273683,14,143
23021,11,3,322141,31,139
23023,0,3,5115,0,0
23025,1,3,13484,0,8
23027,1,3,9176,0,6
23029,4,3,165960,8,114
24003,5,3,799706,3,73
24005,6,3,1455508,4,67
24510,7,3,929816,3,116
24009,4,3,182319,5,67
24011,1,3,42498,3,67
24013,6,3,223544,3,84
24015,3,3,272499,6,99
24019,1,3,44800,3,66
24023,6,3,214604,14,98
24025,6,3,600248,5,65
24027,5,3,454840,3,59
24029,2,3,55533,6,75
24031,2,3,1196138,3,72
24033,3,3,1214572,3,94
24035,2,3,67677,3,72
24039,2,3,39559,4,64
24041,1,3,44523,2,42
24045,1,3,122311,3,68
24047,2,3,118393,4,107
25001,4,3,3564992,30,123
25003,4,2,451296,7,71
25005,6,3,1517127,6,69
25007,1,3,105385,12,46
25009,6,3,2378712,7,78
25011,6,2,253113,7,73
25013,3,2,1317232,6,46
25015,4,2,427346,6,58
25017,4,3,3344773,4,52
25021,6,3,1732844,5,74
25023,6,3,3610684,16,72
25025,3,3,731760,2,90
25027,5,3,2376929,6,99
26001,15,3,200888,32,133
26003,8,2,49068,12,67
26007,3,3,23237,1,20
26009,7,3,134912,11,88
26011,12,3,237313,29,123
26013,1,2,12773,3,38
26017,5,3,200820,4,50
26019,1,3,5493,1,16
26023,9,3,309931,15,90
26025,8,3,977410,15,90
26027,4,3,45204,2,61
26029,5,3,108088,7,75
26031,6,3,211613,15,89
26033,6,3,449526,25,93
26035,10,2,326442,22,132
26037,5,3,153956,4,75
26039,3,3,68615,9,73
26043,2,3,52591,4,42
26045,6,3,345011,6,71
26047,4,3,100456,5,54
26049,12,3,1066528,5,94
26051,10,3,261242,19,125
26053,2,3,44421,5,58
26055,1,3,22787,0,23
26057,8,3,126069,7,78
26059,10,3,168200,8,102
26061,2,2,62874,4,78
26063,12,2,447854,25,99
26065,4,2,430864,3,80
26067,11,3,606174,21,121
26069,14,3,296114,20,127
26071,1,1,12369,2,52
26073,8,3,155060,5,82
26079,0,2,369,0,2
26081,11,3,4106601,13,108
26083,0,3,122,0,1
26085,6,3,180990,32,93
26087,8,3,530203,13,60
26089,0,3,6363,1,26
26091,0,2,14133,0,8
26093,8,2,1086478,12,82
26095,6,3,48569,17,52
26097,11,3,162113,24,124
26101,1,3,4579,0,17
26105,5,3,191161,12,79
26107,10,3,233883,12,113
26111,14,3,520409,12,117
26113,5,2,139311,18,108
26115,11,3,424932,6,78
26117,13,3,624022,21,131
26119,6,3,71535,13,59
26121,10,3,763489,9,99
26123,12,3,280056,12,113
26127,7,3,100837,8,82
26129,14,3,317539,27,127
26131,1,3,11905,3,30
26133,8,3,192793,17,95
26135,9,3,101215,22,87
26137,5,3,77908,6,80
26139,10,3,757365,6,79
26141,3,3,44316,6,47
26143,8,1,574653,42,124
26145,8,2,560052,6,72
26151,8,3,410077,19,64
26153,3,2,25695,6,50
26155,10,2,205132,6,83
26157,10,2,483202,18,80
27001,5,3,96412,10,121
27003,0,1,58278,0,14
27009,1,3,35080,2,42
27017,2,3,34712,2,35
27019,2,2,79284,2,56
27025,2,3,41886,2,59
27037,1,1,199455,1,36
27039,1,3,35991,4,44
27045,0,3,425,0,1
27047,1,3,77821,5,46
27049,3,3,75183,3,39
27053,5,3,1261661,2,86
27061,1,2,43991,2,48
27065,1,3,9836,1,35
27079,2,3,61781,5,58
27081,0,2,62,0,0
27095,1,3,30144,2,45
27097,1,3,23622,1,26
27099,1,3,31833,2,33
27101,3,3,34058,7,73
27105,1,2,21924,2,42
27109,1,2,75504,1,27
27111,4,1,68900,2,57
27115,1,3,32362,2,60
27117,0,3,932,0,5
27123,3,3,516952,2,68
27129,1,3,8390,1,24
27131,2,2,157307,5,56
27133,0,3,291,0,3
27139,0,3,79417,1,40
27145,1,3,75241,1,35
27137,3,2,247028,2,58
27151,0,3,429,0,0
27153,0,2,13578,1,33
27157,2,3,29984,3,54
27161,3,1,66992,7,28
27163,5,3,314526,3,71
27169,1,2,34896,1,48
28001,16,3,329175,21,324
28005,15,3,153890,21,297
28007,12,1,121913,13,144
28011,9,3,219707,13,124
28019,3,3,29460,7,89
28021,22,3,204845,51,414
28023,4,3,50157,6,124
28029,13,3,227328,17,289
28031,8,3,136643,14,144
28033,4,3,216791,2,67
28035,2,3,104981,3,80
28037,15,3,123718,30,330
28039,4,3,460950,42,124
28041,8,3,236205,45,139
28043,9,3,198685,17,112
28045,2,3,364414,12,73
28047,2,3,1629471,15,74
28049,23,3,1014328,8,176
28051,5,3,42183,5,81
28059,3,3,997902,13,109
28061,5,3,86842,10,134
28065,7,3,90973,14,137
28067,6,3,186970,5,97
28069,3,1,15787,3,93
28071,3,3,132202,5,90
28073,2,3,93583,3,73
28075,4,3,138158,3,88
28077,5,3,64370,10,143
28079,4,1,47786,4,102
28085,9,3,143554,8,236
28089,10,3,332135,6,109
28091,3,3,66843,5,97
28097,4,3,38403,6,72
28099,4,1,44184,3,90
28101,5,1,60467,6,130
28103,2,2,40897,7,55
28107,6,3,188017,11,130
28109,3,3,155907,5,116
28111,4,3,61340,10,112
28113,9,3,280369,14,157
28119,5,3,61126,15,121
28121,10,1,409162,5,96
28123,5,1,98799,7,149
28127,9,3,142124,11,177
28129,7,3,105605,13,147
28131,3,3,167477,19,96
28133,7,3,115935,10,117
28135,6,3,118140,20,124
28137,8,3,99680,7,99
28139,2,3,59461,5,82
28147,4,3,52327,7,122
28149,35,3,416318,16,323
28151,9,3,170634,7,134
28153,6,3,59306,5,114
28157,25,3,204090,46,394
28159,2,3,36825,4,55
28161,4,3,70446,10,67
29013,7,1,47808,6,87
29015,2,3,11426,1,46
29017,0,1,461,0,1
29019,1,1,81587,1,26
29021,3,1,96626,2,70
29023,2,2,82378,4,64
29027,0,3,7378,0,21
29029,2,3,29315,1,56
29031,1,1,132726,3,61
29035,0,1,13765,4,60
29037,5,1,390719,7,68
29039,1,2,59266,8,56
29041,2,1,23940,7,62
29043,4,1,74597,2,35
29047,6,1,412051,3,81
29053,2,3,20532,2,66
29055,4,2,26686,2,66
29057,0,3,519,0,12
29059,1,1,1234,0,4
29063,0,1,910,0,2
29067,10,1,64856,10,118
29069,2,1,58720,4,34
29071,3,3,103274,2,56
29073,1,3,17813,2,74
29083,1,3,19015,2,40
29085,0,2,7948,2,36
29089,2,3,17868,4,58
29093,5,3,25694,5,105
29095,6,2,2433372,6,90
29099,8,1,270207,2,84
29101,6,1,237719,9,59
29103,0,1,4531,2,29
29105,2,2,66280,4,88
29107,1,3,22158,1,40
29113,4,3,78874,3,98
29115,0,3,8538,1,19
29121,0,2,7264,1,32
29119,1,1,2464,0,20
29131,4,2,75164,6,60
29133,2,3,28665,4,47
29137,0,1,11097,2,63
29147,0,2,20618,2,52
